curso,opcion,dia,hora,tipo,turno
Taller de Narrativa II,B,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa II,B,Lunes,18:00-22:00,Práctico,noche
Taller de Narrativa II,C,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa II,C,Jueves,18:00-22:00,Práctico,noche
Taller de Narrativa II,D,Martes,11:00-13:00,Teórico,mañana
Taller de Narrativa II,D,Miércoles,09:00-13:00,Práctico,mañana
Taller de Narrativa II,E,Martes,20:00-22:00,Teórico,noche
Taller de Narrativa II,E,Miércoles,14:00-18:00,Práctico,tarde
Taller de Narrativa II,F,Martes,20:00-22:00,Teórico,noche
Taller de Narrativa II,F,Lunes,18:00-22:00,Práctico,noche
Taller de Narrativa II,G,Martes,20:00-22:00,Teórico,noche
Taller de Narrativa II,G,Jueves,18:00-22:00,Práctico,noche
Taller de Narrativa II,H,Martes,20:00-22:00,Teórico,noche
Taller de Narrativa II,H,Miércoles,09:00-13:00,Práctico,mañana
Taller de Narrativa III,A,Viernes,18:00-22:00,Teórico,noche
Taller de Narrativa III,A,Jueves,09:00-13:00,Práctico,mañana
Taller de Narrativa III,B,Viernes,18:00-22:00,Teórico,noche
Taller de Narrativa III,B,Viernes,18:00-22:00,Práctico,noche
Taller de Poesía II,A,Martes,09:00-11:00,Teórico,mañana
Taller de Poesía II,A,Miércoles,09:00-13:00,Práctico,mañana
Taller de Poesía II,B,Martes,09:00-11:00,Teórico,mañana
Taller de Poesía II,B,Jueves,14:00-18:00,Práctico,tarde
Taller de Poesía II,C,Martes,09:00-11:00,Teórico,mañana
Taller de Poesía II,C,Jueves,18:00-22:00,Práctico,noche
Taller de Poesía II,D,Miércoles,18:00-20:00,Teórico,tarde noche
Taller de Poesía II,D,Jueves,14:00-18:00,Práctico,tarde
Taller de Poesía II,E,Miércoles,18:00-20:00,Teórico,tarde noche
Taller de Poesía II,E,Jueves,18:00-22:00,Práctico,noche
Taller de Poesía II,F,Miércoles,18:00-20:00,Teórico,tarde noche
Taller de Poesía II,F,Jueves,14:00-18:00,Práctico,tarde
Taller de Poesía III,A,Lunes,18:00-22:00,Práctico,noche
Taller de Poesía III,B,Martes,09:00-13:00,Práctico,mañana
Poesía Universal I,A,Miércoles,18:00-20:00,Teórico,tarde noche
Poesía Universal I,A,Martes,15:00-17:00,Práctico,tarde
Poesía Universal I,B,Miércoles,18:00-20:00,Teórico,tarde noche
Poesía Universal I,B,Martes,17:00-19:00,Práctico,tarde noche
Poesía Universal I,C,Miércoles,18:00-20:00,Teórico,tarde noche
Poesía Universal I,C,Miércoles,14:00-16:00,Práctico,tarde
Poesía Universal I,D,Miércoles,18:00-20:00,Teórico,tarde noche
Poesía Universal I,D,Miércoles,16:00-18:00,Práctico,tarde
Taller de Semiótica,A,Lunes,09:00-13:00,Práctico,mañana
Taller de Semiótica,B,Lunes,18:00-22:00,Práctico,noche
Poesía Argentina y Latinoamericana I,A,Viernes,20:00-22:00,Teórico,noche
Poesía Argentina y Latinoamericana I,A,Jueves,16:00-18:00,Práctico,tarde
Poesía Argentina y Latinoamericana I,B,Viernes,20:00-22:00,Teórico,noche
Poesía Argentina y Latinoamericana I,B,Jueves,18:00-20:00,Práctico,tarde noche
Poesía Argentina y Latinoamericana I,C,Viernes,20:00-22:00,Teórico,noche
Poesía Argentina y Latinoamericana I,C,Viernes,16:00-18:00,Práctico,tarde
Poesía Argentina y Latinoamericana I,D,Viernes,20:00-22:00,Teórico,noche
Poesía Argentina y Latinoamericana I,D,Viernes,18:00-20:00,Práctico,tarde noche
Taller de Dramaturgia,A,Martes,10:00-14:00,Práctico,mañana
Taller de Dramaturgia,B,Miércoles,18:00-22:00,Práctico,noche
Semiótica General,A,Lunes,09:00-11:00,Teórico,mañana
Semiótica General,A,Lunes,11:00-13:00,Práctico,mañana
Semiótica General,B,Lunes,20:00-22:00,Teórico,noche
Semiótica General,B,Lunes,18:00-20:00,Práctico,tarde noche
Semiótica General,C,Lunes,09:00-11:00,Teórico,mañana
Semiótica General,C,Lunes,18:00-20:00,Práctico,tarde noche
Semiótica General,D,Lunes,20:00-22:00,Teórico,noche
Semiótica General,D,Lunes,11:00-13:00,Práctico,mañana
Laboratorio de Experimentación,A,Martes,18:00-22:00,Teórico,noche
Edición y Legislación,A,Lunes,18:00-22:00,Teórico,noche
Historia de la Lectura y la Escritura,A,Lunes,18:00-22:00,Teórico,noche
Taller de Géneros,A,Martes,18:00-22:00,Práctico,noche
Teoría y Análisis de las Artes Audiovisuales,A,Viernes,09:00-11:00,Teórico,mañana
Teoría y Análisis de las Artes Audiovisuales,A,Viernes,11:00-13:00,Práctico,mañana
Teoría y Análisis de las Artes Dramáticas,A,Miércoles,10:30-13:00,Práctico,mañana
Teoría y Análisis de las Artes Dramáticas,B,Miércoles,19:30-22:00,Práctico,noche
Taller de Escritura en Investigación desde las Artes,A,Martes,18:00-22:00,Práctico,noche
